time,IMSI,bw requested,real bandwith received,slice
2025-07-19 10:58:19.302748+00:00,999991000000083,4,7.25,UPF500
2025-07-19 10:58:29.847566+00:00,999991000000083,4,18.66,UPF500
2025-07-19 10:59:02.957528+00:00,999991000000086,4,3.61,UPF250
2025-07-19 11:00:19.498518+00:00,999991000000086,4,1.14,UPF250
2025-07-19 11:00:32.574380+00:00,999991000000083,4,1.99,UPF500
2025-07-19 11:01:03.413163+00:00,999991000000086,4,12.49,UPF250
2025-07-19 11:01:29.522344+00:00,999991000000083,4,.43,UPF500
2025-07-19 11:01:41.404660+00:00,999991000000083,4,18.93,UPF500
