time,IMSI,bw requested,real bandwith received,slice
2025-07-19 12:26:32.151085+00:00,999991000000088,4,7.24,UPF250
2025-07-19 12:26:58.921593+00:00,999991000000092,3,5.16,UPF250
2025-07-19 12:27:01.378931+00:00,999991000000083,4,6.32,UPF500
2025-07-19 12:27:43.768622+00:00,999991000000082,3,10.99,UPF500
2025-07-19 12:28:03.139390+00:00,999991000000085,3,7.25,UPF250
2025-07-19 12:28:07.114376+00:00,999991000000087,3,6.51,UPF500
2025-07-19 12:28:08.242332+00:00,999991000000096,4,5.13,UPF250
2025-07-19 12:28:34.050469+00:00,999991000000083,3,.71,UPF500
2025-07-19 12:29:21.249375+00:00,999991000000086,3,7.78,UPF250
2025-07-19 12:29:29.877343+00:00,999991000000094,4,8.34,UPF250
2025-07-19 12:29:43.775709+00:00,999991000000095,4,10.43,UPF500
