time,IMSI,bw requested,real bandwith received,slice
2025-07-19 11:59:41.967079+00:00,999991000000086,3,11.09,UPF250
2025-07-19 12:01:05.072805+00:00,999991000000086,4,5.64,UPF250
2025-07-19 12:01:09.261809+00:00,999991000000093,2,5.07,UPF500
2025-07-19 12:01:16.290913+00:00,999991000000083,3,9.62,UPF500
2025-07-19 12:01:53.791799+00:00,999991000000086,4,1.00,UPF250
2025-07-19 12:02:11.767769+00:00,999991000000082,3,8.26,UPF500
2025-07-19 12:02:14.568099+00:00,999991000000087,3,7.92,UPF500
2025-07-19 12:02:35.851890+00:00,999991000000091,2,10.33,UPF500
2025-07-19 12:02:59.821700+00:00,999991000000086,4,.55,UPF250
