time,IMSI,bw requested,real bandwith received,slice
2025-07-19 11:07:38.515695+00:00,999991000000082,5,7.98,UPF500
2025-07-19 11:07:44.683329+00:00,999991000000085,5,9.58,UPF250
2025-07-19 11:08:21.363152+00:00,999991000000089,5,7.84,UPF500
2025-07-19 11:08:22.602078+00:00,999991000000086,5,8.26,UPF250
2025-07-19 11:08:52.431228+00:00,999991000000083,5,9.17,UPF500
2025-07-19 11:09:31.594158+00:00,999991000000083,5,4.43,UPF500
2025-07-19 11:10:13.869752+00:00,999991000000088,5,10.56,UPF250
2025-07-19 11:10:58.116290+00:00,999991000000092,5,11.63,UPF250
