time,IMSI,bw requested,real bandwith received,slice
2025-07-19 11:15:14.153271+00:00,999991000000083,5,7.51,UPF500
2025-07-19 11:16:29.338020+00:00,999991000000083,5,2.31,UPF500
2025-07-19 11:17:06.285089+00:00,999991000000086,5,9.64,UPF250
2025-07-19 11:17:29.321208+00:00,999991000000083,5,.93,UPF500
2025-07-19 11:17:43.387290+00:00,999991000000088,5,9.03,UPF250
2025-07-19 11:17:52.529836+00:00,999991000000083,5,9.67,UPF500
2025-07-19 11:18:08.042730+00:00,999991000000085,5,9.42,UPF250
