Episode,TotalReward
0,135.75243
1,63.371994
2,126.15483
3,138.49312
4,214.34357
5,103.60201
6,63.812176
7,59.495285
8,101.37561
9,107.22667
10,48.208145
11,128.85074
12,125.95586
13,84.830864
14,51.646973
15,89.26795
16,151.86464
17,80.18324
18,48.67994
19,45.373016
20,170.94405
21,86.80467
22,147.53816
23,77.13655
24,215.31512
25,190.15001
26,100.773476
27,77.224174
28,168.02179
29,101.92904
30,130.30995
31,72.111725
32,80.03699
33,207.31589
34,166.0933
35,211.15375
36,54.716393
37,155.88286
38,118.047066
39,63.608315
40,73.5435
41,98.50758
42,55.135708
43,58.434364
44,62.111748
45,72.34763
46,139.084
47,128.67088
48,96.30331
49,131.76572
50,82.082565
51,43.91429
52,53.994114
53,122.83682
54,50.193855
55,245.44876
56,60.123734
57,203.82808
58,48.96196
59,116.40281
60,204.09111
61,127.94288
62,78.10385
63,62.483257
64,200.52962
65,185.74501
66,46.21744
67,60.38304
68,197.6198
69,70.768364
70,125.37431
71,89.812
72,54.856323
73,63.763893
74,183.85284
75,59.69059
76,181.32764
77,104.78132
78,144.6205
79,55.6408
80,89.502075
81,54.39062
82,118.275665
83,51.807022
84,90.03603
85,150.49005
86,78.80707
87,147.20882
88,49.336815
89,211.51854
90,81.19998
91,145.90138
92,78.187195
93,122.19023
94,159.97438
95,129.26903
96,131.01494
97,83.62246
98,153.08408
99,44.81527
