Episode,Loss,Average Q
4,2.3977673053741455,-1.4157495498657227
4,2.410006523132324,-1.4257391691207886
5,2.323768138885498,-1.3910231590270996
5,2.3333752155303955,-1.3941947221755981
5,2.0423738956451416,-1.3311948776245117
5,2.592531204223633,-1.5055992603302002
5,2.625094413757324,-1.4730727672576904
5,2.454639196395874,-1.4711874723434448
5,2.4937283992767334,-1.4866379499435425
5,2.457141637802124,-1.4446122646331787
5,2.467871904373169,-1.4997596740722656
5,2.538039207458496,-1.5240434408187866
5,2.7344021797180176,-1.5330086946487427
5,2.7142999172210693,-1.5288875102996826
5,2.699598789215088,-1.4903924465179443
6,2.686699867248535,-1.5534251928329468
6,2.8956267833709717,-1.6581084728240967
6,2.5096418857574463,-1.5083547830581665
6,2.8063578605651855,-1.5937559604644775
6,2.7267956733703613,-1.5979349613189697
6,2.6169726848602295,-1.5647166967391968
6,2.384859085083008,-1.5572798252105713
6,2.358659267425537,-1.4291898012161255
6,2.440886974334717,-1.4423027038574219
6,1.6759651899337769,-1.2788482904434204
6,2.1275887489318848,-1.3594070672988892
6,2.013800859451294,-1.3199557065963745
6,2.4445974826812744,-1.4553797245025635
7,2.301013946533203,-1.425624132156372
7,2.478973865509033,-1.4999549388885498
7,2.5338661670684814,-1.5816060304641724
7,2.26680064201355,-1.4775506258010864
7,2.6058359146118164,-1.510286569595337
7,2.5724217891693115,-1.4254906177520752
7,2.4396393299102783,-1.4585959911346436
7,2.2450578212738037,-1.3695299625396729
7,2.273756742477417,-1.393397331237793
7,2.4240639209747314,-1.446099042892456
7,2.2722907066345215,-1.34437894821167
7,2.5185251235961914,-1.4595228433609009
7,1.8740049600601196,-1.290032982826233
8,2.055405616760254,-1.4062427282333374
8,1.9149374961853027,-1.3481581211090088
8,1.9146957397460938,-1.2897475957870483
8,2.1841859817504883,-1.422515630722046
8,2.4351511001586914,-1.522119402885437
8,2.0722548961639404,-1.297371745109558
8,2.035504102706909,-1.3548725843429565
8,1.9939197301864624,-1.3024623394012451
8,2.207691192626953,-1.3988844156265259
8,1.8612598180770874,-1.2524540424346924
8,1.884827733039856,-1.3966063261032104
8,1.9735311269760132,-1.3626307249069214
