Episode,TotalReward
0,51.90487
1,48.0876
2,144.58293
3,68.05606
4,45.361805
5,53.074074
6,99.495186
7,148.6849
8,189.80704
9,84.73202
10,182.17104
11,76.1922
12,66.95435
13,64.36328
14,67.182045
15,66.82485
16,201.91724
17,45.172977
18,48.47261
19,76.58665
20,186.36131
21,109.50732
22,89.938034
23,138.28188
24,177.95807
25,119.87311
26,44.409958
27,86.340126
28,83.858246
29,136.49239
30,135.40714
31,87.222046
32,113.64904
33,53.757816
34,63.451504
35,49.007484
36,120.93879
37,97.86136
38,57.63627
39,71.76794
40,44.185013
41,70.65
42,75.86129
43,115.084206
44,59.02696
45,88.64344
46,61.895344
47,101.303444
48,98.45683
49,170.8382
50,54.352806
51,87.68645
52,63.713127
53,106.04466
54,268.68195
