Episode,TotalReward
0,77.4121658205986
1,95.40520638227463
2,101.63244163990021
3,119.7358791232109
4,136.39688903093338
5,220.73131442070007
6,177.01436913013458
7,97.61165750026703
8,85.42745804786682
9,158.04261600971222
10,118.50740838050842
11,122.41704887151718
12,25.468069076538086
13,80.14909106492996
14,136.85249269008636
15,111.53376519680023
16,163.06884360313416
17,161.57185554504395
18,140.88022994995117
19,69.38764125108719
20,70.41506344079971
21,26.39515507221222
22,174.69330042600632
23,156.12044376134872
24,186.47136956453323
25,225.587104678154
26,35.11760365962982
27,73.41567003726959
28,174.39270955324173
29,111.36447882652283
30,220.05832558870316
31,151.02844059467316
32,190.9988157749176
33,177.1462802886963
34,116.83787274360657
35,66.69722431898117
36,67.42652940750122
37,118.51966190338135
38,223.75794911384583
39,181.4191142320633
40,52.07939499616623
41,106.59859621524811
42,138.10553789138794
43,198.17994737625122
44,259.9576405286789
45,52.11366754770279
46,101.60568243265152
47,125.41260379552841
48,153.1381412744522
49,111.09592390060425
50,37.51887196302414
51,177.94186997413635
52,149.98957639932632
53,153.98127818107605
54,187.1733496785164
55,40.05455422401428
56,266.10263884067535
57,140.65762567520142
58,151.64459937810898
59,298.27447962760925
60,143.58351862430573
61,266.6478935480118
62,40.623316287994385
