time,IMSI,bw requested,real bandwith received,slice
2025-07-12 17:41:27.025726+00:00,999991000000097,6,,UPF500
2025-07-12 17:41:27.044025+00:00,999991000000096,5,,UPF250
2025-07-12 17:41:27.097828+00:00,999991000000095,7,,UPF500
2025-07-12 17:41:27.165800+00:00,999991000000098,8,,UPF250
2025-07-12 17:44:07.865809+00:00,999991000000094,8,14.10,UPF250
2025-07-12 17:44:07.879576+00:00,999991000000099,7,21.71,UPF500
2025-07-12 17:44:22.996475+00:00,999991000000087,6,23.27,UPF500
2025-07-12 17:44:58.173919+00:00,999991000000098,9,14.39,UPF250
2025-07-12 17:45:07.878706+00:00,999991000000091,5,14.65,UPF500
2025-07-12 17:45:11.473950+00:00,999991000000098,8,3.94,UPF250
2025-07-12 17:45:23.064176+00:00,999991000000089,6,21.22,UPF500
2025-07-12 17:46:06.835434+00:00,999991000000098,6,3.54,UPF250
2025-07-12 17:46:10.863141+00:00,999991000000098,9,12.07,UPF250
2025-07-12 17:46:13.613416+00:00,999991000000093,8,23.18,UPF500
2025-07-12 17:46:29.020890+00:00,999991000000098,6,0,UPF250
2025-07-12 17:46:31.586359+00:00,999991000000097,9,,UPF500
2025-07-12 17:46:31.783378+00:00,999991000000095,7,,UPF500
2025-07-12 17:49:08.849857+00:00,999991000000098,7,14.40,UPF250
2025-07-12 17:49:38.309386+00:00,999991000000089,6,15.44,UPF500
2025-07-12 17:49:39.070120+00:00,999991000000088,5,13.36,UPF250
2025-07-12 17:50:08.374681+00:00,999991000000099,9,16.15,UPF500
2025-07-12 17:50:14.025619+00:00,999991000000088,9,7.89,UPF250
2025-07-12 17:50:26.779203+00:00,999991000000091,8,13.91,UPF500
2025-07-12 17:50:36.751796+00:00,999991000000089,8,13.70,UPF500
2025-07-12 17:50:57.216814+00:00,999991000000088,6,12.34,UPF250
2025-07-12 17:51:13.014897+00:00,999991000000088,9,3.13,UPF250
2025-07-12 17:51:23.167720+00:00,999991000000093,9,0,UPF500
2025-07-12 17:51:30.890261+00:00,999991000000097,6,,UPF500
2025-07-12 17:51:31.066024+00:00,999991000000088,8,,UPF250
2025-07-12 17:51:31.140586+00:00,999991000000095,6,,UPF500
2025-07-12 17:54:08.994227+00:00,999991000000092,8,14.25,UPF250
2025-07-12 17:54:32.491943+00:00,999991000000087,7,22.21,UPF500
2025-07-12 17:54:38.554425+00:00,999991000000088,7,13.58,UPF250
2025-07-12 17:54:39.399757+00:00,999991000000087,7,6.17,UPF500
2025-07-12 17:54:53.594831+00:00,999991000000090,5,14.86,UPF250
2025-07-12 17:55:25.939620+00:00,999991000000089,6,18.34,UPF500
