Episode,Loss,Average Q
4,11.552101135253906,0.7491519451141357
4,11.49669075012207,0.7032949924468994
5,11.585723876953125,0.8267284631729126
5,11.638355255126953,0.8041010499000549
5,11.196763038635254,0.863368809223175
5,10.237598419189453,0.8124528527259827
5,11.375734329223633,0.8639740347862244
5,12.053329467773438,0.9765960574150085
5,12.125588417053223,0.8400620222091675
5,12.361661911010742,0.8705911040306091
5,10.462227821350098,0.874869704246521
5,11.114458084106445,0.874853253364563
5,9.15118408203125,1.059650182723999
5,12.001791954040527,0.9829566478729248
5,11.009198188781738,0.7416245341300964
6,12.303028106689453,0.9521749019622803
6,11.27367115020752,0.9230798482894897
6,12.219268798828125,1.0862529277801514
6,9.180909156799316,1.013238549232483
6,10.736684799194336,0.7366816997528076
6,9.340267181396484,1.1021589040756226
6,9.594244956970215,1.024340271949768
6,10.592781066894531,1.269564151763916
6,8.368024826049805,1.0917689800262451
6,10.461487770080566,1.1797406673431396
6,11.164702415466309,0.907974123954773
6,12.792058944702148,0.9479338526725769
6,9.489395141601562,1.314044713973999
7,10.54056167602539,1.2150893211364746
7,9.091198921203613,1.2649091482162476
7,11.48960018157959,0.9424155354499817
7,8.034743309020996,1.3581621646881104
7,12.062456130981445,1.2441697120666504
7,8.20173168182373,1.1682617664337158
7,7.5110063552856445,1.6047812700271606
7,11.256881713867188,1.231545329093933
7,8.67898178100586,0.9178913831710815
7,10.662199020385742,1.1838102340698242
7,8.99323844909668,1.1184132099151611
7,7.568934440612793,1.1458693742752075
7,10.113089561462402,1.1831798553466797
8,10.434179306030273,1.3744044303894043
8,9.07927417755127,0.9764958620071411
8,7.21967887878418,1.2138025760650635
8,10.850329399108887,0.9404993057250977
8,10.255698204040527,0.9977604150772095
8,9.356426239013672,1.2471078634262085
8,7.177087783813477,1.3240951299667358
8,7.304764270782471,1.2820520401000977
8,10.356280326843262,1.4752744436264038
8,9.644022941589355,1.0109050273895264
8,8.499987602233887,1.5837175846099854
8,11.070108413696289,1.0578311681747437
8,7.700133323669434,1.4871058464050293
9,9.37652587890625,1.6149098873138428
9,11.533817291259766,1.430752158164978
9,8.032513618469238,1.4061806201934814
9,8.023587226867676,1.4836313724517822
9,11.384153366088867,1.3549327850341797
9,10.538763046264648,1.4176141023635864
9,11.052366256713867,1.4931156635284424
9,12.158303260803223,1.3383026123046875
9,9.452910423278809,1.4096837043762207
9,7.870619297027588,1.7021398544311523
9,10.819466590881348,1.4519016742706299
